district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
ptm,Good Shepherd Hall Thirumoolapuram,Good Shepherd Hall Thirumoolapuram,Thiruvalla,Kuttapuzha,active,,,99,45,40,14,,,,,
alp,Puliyoor Panthayat,Puliyoor Panthayat,Chengannoor,Puliyoor,active,,,196,,,,,,,,
ptm,Anganvadi Chumathra,Anganvadi Chumathra,Thiruvalla,Kuttapuzha,active,,,204,90,85,29,,,,,
ekm,"Mar Gregorios Church Parish Hall, North Marady","Mar Gregorios Church Parish Hall, North Marady",MUVATTUPUZHA,Marady,active,9447821020,yes,272,,,,yes,yes,yes,,
ptm,Orthodox Church Kattode,Orthodox Church Kattode,Thiruvalla,Kuttapuzha,active,,,72,35,27,10,,,,,
ptm,Trimal IPS,Trimal IPS,Thiruvalla,Kuttapuzha,active,,,93,45,35,13,,,,,
ptm,Marthoma Church Kattode,Marthoma Church Kattode,Thiruvalla,Kuttapuzha,active,,,139,50,70,19,,,,,
alp,Piralassery  LPS,Piralassery  LPS,Chengannoor,Mulakkuzha,active,,,220,,,,,,,,
ptm,Marthoma College Kuttapuzha,Marthoma College Kuttapuzha,Thiruvalla,Kuttapuzha,active,,,118,50,40,28,,,,,
alp,Kozhuvallor Littli Flower Church,Kozhuvallor Littli Flower Church,Chengannoor,Mulakkuzha,active,,,21,,,,,,,,
alp,Kozuvalloor Aranthakadu Sarada Complex,Kozuvalloor Aranthakadu Sarada Complex,Chengannoor,Mulakkuzha,active,,,60,,,,,,,,
ptm,MTLPS East Muthoor,MTLPS East Muthoor,Thiruvalla,Kuttapuzha,active,,,322,150,125,47,,,,,
ekm,Marady Grama Panchayat Hall,Marady Grama Panchayat Library Hall - ward 3,MUVATTUPUZHA,Marady,active,9387872266,yes,790,,,,yes,yes,yes,yes,yes
alp,Karakkadu Pettipeedikayil LPS,Karakkadu Pettipeedikayil LPS,Chengannoor,Mulakkuzha,active,,,47,,,,,,,,
ptm,Shigon Marthoma Church,Shigon Marthoma Church,Thiruvalla,Kuttapuzha,active,,,69,30,28,11,,,,,
ptm,Mukalumkara Temple House,Mukalumkara Temple House,Thiruvalla,Kuttapuzha,active,,,22,9,8,5,,,,,
alp,Mulakkuzha Muslim Jamaath,Mulakkuzha Muslim Jamaath,Chengannoor,Mulakkuzha,active,,,157,,,,,,,,
ptm,Amalloor School,Amalloor School,Thiruvalla,Kuttapuzha,active,,,35,12,17,6,,,,,
ekm,AMBEDKAR SAMSKARIKANILAYAM,"AMBEDKAR SAMSKARIKANILAYAM,THOTTOOR",KANAYANNOOR,EDAKKATTUVAYAL,active,,,38,15,16,7,,,,,
alp,"MDLPS, Puthenkave","MDLPS, Puthenkave",Chengannoor,Mulakkuzha,active,,,187,,,,,,,,
ptm,Kakkathuruth,Kakkathuruth,Thiruvalla,Kuttapuzha,active,,,75,22,25,28,,,,,
alp,"UPS,Puthenkavu, Ottakkody","UPS,Puthenkavu, Ottakkody",Chengannoor,Mulakkuzha,active,,,44,,,,,,,,
ptm,IPC Erumelipura,IPC Erumelipura,Thiruvalla,Kuttapuzha,active,,,93,45,30,18,,,,,
alp,Piralassery SNDP Sakha,Piralassery SNDP Sakha,Chengannoor,Mulakkuzha,active,,,38,,,,,,,,
ekm,"Mount Horeb Church Parish Hall, Kayanad","Mount Horeb Church Parish Hall, Kayanad - ward 2",MUVATTUPUZHA,Marady,active,9495897104,yes,53,,,,yes,yes,yes,yes,
alp,Piralassery  3088 Sreekrishna Vilasom Karayogam Ma,Piralassery  3088 Sreekrishna Vilasom Karayogam Mandiram,Chengannoor,Mulakkuzha,active,,,67,,,,,,,,
ptm,Anganvadi Karimal,Anganvadi Karimal,Thiruvalla,Kuttapuzha,active,,,133,70,50,13,,,,,
ekm,St.Pauls,"St. Pauls  H S S,VELIYANAD",KANAYANNOOR,EDAKKATTUVAYAL,active,,,16,5,10,1,,,,,
alp,"Piralassery  LPS (IPC House of Shaji, Thuppalumala","Piralassery  LPS (IPC House of Shaji, Thuppalumalayil)",Chengannoor,Mulakkuzha,active,,,83,,,,,,,,
ptm,Anganvadi Manjali,Anganvadi Manjali,Thiruvalla,Kuttapuzha,active,,,36,15,12,9,,,,,
alp,Mulakkuzha NSS Auditorium,Mulakkuzha NSS Auditorium,Chengannoor,Mulakkuzha,active,,,190,,,,,,,,
ptm,LPS Muthoor,LPS Muthoor,Thiruvalla,Kuttapuzha,active,,,1027,450,460,87,,,,,
alp,Mulakkuzha HSS Kizhakke Buildihg,Mulakkuzha HSS Kizhakke Buildihg,Chengannoor,Mulakkuzha,active,,,99,,,,,,,,
ekm,Kayanad St.George Church Parish Hall,"St.George Church Parish Hall, Kayanad",MUVATTUPUZHA,Marady,active,9544789951,yes,156,,,,yes,yes,yes,yes,
ptm,AKPMS Hall,AKPMS Hall,Thiruvalla,Kuttapuzha,active,,,176,80,60,36,,,,,
alp,"BHSS Mulakkuzha,Vadakke Building","BHSS Mulakkuzha,Vadakke Building",Chengannoor,Mulakkuzha,active,,,153,,,,,,,,
ptm,MDMS Thirumoolapuram,MDMS Thirumoolapuram,Thiruvalla,Kuttapuzha,active,,,352,150,175,27,,,,,
alp,HSS Padinjare,HSS Padinjare,Chengannoor,Mulakkuzha,active,,,182,,,,,,,,
ptm,K M PS  Thirumoolapuram,K M PS  Thirumoolapuram,Thiruvalla,Kuttapuzha,active,,,33,12,15,8,,,,,
tcr,PMG College Chalakkudy,"Panampally Memorial Gov.College
Potta P O
Chalakudy
Thrissur
Pin: 680722",Chalakudy,Perambra,active,"Municipal Secretary:9496141437
Joy ChamavalapilMunicipalCouncilor : 9447272653","Light,Food,Toilets,Cloth",236,150,86,3,Yes,Yes,Yes,Yes,
alp,Namparathara,Namparathara,Chengannoor,Thiruvanvandooru,active,,,40,,,,,,,,
alp,Pallathu Veedu,Pallathu Veedu,Chengannoor,Thiruvanvandoor,active,,,4,,,,,,,,
alp,Elavaumparambil,Elavaumparambil,Chengannoor,Thiruvanvandoor,active,,,50,,,,,,,,
alp,Varikkottil,Varikkottil,Chengannoor,Thiruvanvandoor,active,,,40,,,,,,,,
alp,Sreekrishna Vilasom,Sreekrishna Vilasom,Chengannoor,Thiruvanvandoor,active,,,15,,,,,,,,
ktm,"Gregorios Institute Of Technology, Kangazha","Mooleppeedika , Kangazha",Changanacherry,Kangazha,active,9495538228,,44,18,24,2,Available,Available,Available,Available,
alp,Madappallyil,Madappallyil,Chengannoor,Thiruvanvandoor,active,,,30,,,,,,,,
alp,Chandralayam Nannad,Chandralayam Nannad,Chengannoor,Thiruvanvandoor,active,,,200,,,,,,,,
alp,Nannad VeeraSiva Building,Nannad VeeraSiva Building,Chengannoor,Thiruvanvandoor,active,,,40,,,,,,,,
ktm,Nattakom Polytechnic,kottayam,Kottayam,perumbaikkadu,active,,,115,43,72,,Available,Available,Available,Available,
alp,Chirayil Puthen Veedu,Chirayil Puthen Veedu,Chengannoor,Thiruvanvandoor,active,,,8,,,,,,,,
alp,Moorithitta Building,Moorithitta Building,Chengannoor,Thiruvanvandoor,active,,,30,,,,,,,,
tcr,Little Flower Church Potta,"LF Church
Potta P O
Chalakudy
Thrissur
Pin:680722",Chalakudy,Perambra,closed,"Municipal Secretary ; 9496141437
Reena Davis Ward Councilor : 8086809456","Food,Light,Toilet,Kitchen,Cloth",163,73,90,6,Yes,Yes,Yes,Yes,
alp,Federal Bank,Federal Bank,Chengannoor,Thiruvanvandoor,active,,,36,,,,,,,,
alp,Govt ITI centre II,Mavelikara,Mavelikara,Mavelikara,active,,,297,141,153,3,,,,,
ekm,AL MADRATHUL ISLAMIYA MADRASSA MANJAPETTY,,KUNNATHUNAD,VAZHAKKULAM,closed,,,35,15,12,,,,,,
ktm,Palamood school chingavanam,kottayam,Kottayam,perumbaikkadu,active,,,325,140,175,,Available,Available,Available,Available,
alp,NSS Hall,NSS Hall,Chengannoor,Thiruvanvandoor,active,,,80,,,,,,,,
ekm,SNDP HALL VALAYAN CHIRANGARA,,KUNNATHUNAD,AIRAPURAM,active,,,44,18,18,,,,,,
alp,Union Christian Hall,Union Christian Hall,Chengannoor,Thiruvanvandoor,active,,,50,,,,,,,,
